locality,bhk,area_sqft,age_years,floor,total_floors,parking_spaces,gym,swimming_pool,security,garden,elevator,furnishing,metro_distance_km,it_distance_km,price_lakhs
Wakad,1,650,8,4,10,0,0,1,1,1,1,Unfurnished,4.5,5.6,74.55
Baner,1,577,16,3,3,0,1,0,1,1,1,Unfurnished,0.7,11.1,65.66
Bavdhan,2,1237,4,6,9,0,0,0,1,0,1,Unfurnished,0.6,18.5,144.7
Pashan,2,930,12,5,5,0,1,1,1,0,1,Unfurnished,1.1,2,110.73
Chinchwad,4,1860,7,4,6,0,1,0,1,0,1,Unfurnished,2.2,2.7,162.1
Baner,2,848,5,8,20,0,0,1,1,1,1,Semi-Furnished,1.5,3.3,144.71
Kalyani Nagar,1,747,1,7,13,0,0,1,1,0,1,Semi-Furnished,1.2,4.6,162.83
Warje,3,1291,20,5,17,0,0,0,1,1,1,Fully-Furnished,3.3,1.9,129.33
Warje,2,910,4,16,19,0,0,0,1,1,1,Semi-Furnished,4,3.9,105.82
Baner,2,998,19,17,17,0,1,1,1,0,1,Fully-Furnished,0.6,13,127.21
Hadapsar,1,682,13,8,8,0,1,1,1,1,1,Semi-Furnished,1.6,4.7,56.03
Chinchwad,3,1134,16,3,9,1,0,1,1,1,1,Semi-Furnished,11,8.5,89.04
Undri,1,674,11,4,12,0,1,1,0,0,1,Unfurnished,0.8,2.1,55.1
Wagholi,3,1377,4,18,18,0,1,1,1,1,1,Semi-Furnished,2,2.6,112.9
Chinchwad,2,931,21,8,14,1,1,0,0,0,1,Semi-Furnished,1.5,4.9,72.17
Pisoli,1,632,2,2,4,0,0,0,1,0,1,Semi-Furnished,0.7,22.7,29.31
Pisoli,2,898,7,14,18,0,0,0,1,0,1,Semi-Furnished,0.5,9.4,52.77
Wakad,1,703,23,13,13,1,0,0,1,0,1,Unfurnished,4.9,1.4,69.13
Baner,2,874,17,1,6,1,1,0,0,1,1,Unfurnished,6.5,5.9,95.69
Bavdhan,2,928,6,15,15,0,0,1,1,1,1,Semi-Furnished,1.6,3,129.8
Wagholi,3,1563,15,2,7,0,1,0,1,1,1,Unfurnished,7,4.2,97.78
Pisoli,2,1054,16,1,8,2,0,0,1,1,1,Unfurnished,4.8,5.1,44.87
Wakad,3,1393,18,10,10,1,1,0,1,1,1,Fully-Furnished,2.7,3.8,222.99
Hadapsar,1,609,12,6,7,1,1,1,1,0,1,Semi-Furnished,1.6,4.6,57.12
Pisoli,4,1745,2,7,20,1,0,0,0,0,1,Unfurnished,2.1,8,118.94
Pashan,3,1238,22,10,12,2,1,0,1,1,1,Fully-Furnished,8.5,9.3,126.95
Wakad,3,1583,4,2,11,1,1,0,1,0,1,Unfurnished,5.4,2,241.91
Pimpri,2,1015,8,1,4,1,1,0,1,0,1,Unfurnished,5.4,12.3,68.35
Pashan,2,895,13,1,20,0,1,1,0,0,1,Unfurnished,1.3,3.8,83.04
Wagholi,1,630,4,3,4,1,1,1,0,0,1,Semi-Furnished,0.5,4.6,45.86
Kothrud,3,1117,13,2,7,1,1,1,1,0,1,Semi-Furnished,0.9,3.1,157.8
Hadapsar,3,1368,13,5,10,0,1,0,0,0,1,Unfurnished,2.7,7.1,125.92
Pashan,2,1039,25,4,10,0,0,0,1,1,1,Unfurnished,10.3,2.5,74.34
Kondhwa,2,712,17,1,13,0,1,0,1,0,1,Unfurnished,1.5,1.2,47.6
Bavdhan,2,1009,25,7,13,1,1,0,1,0,1,Semi-Furnished,0.7,2.6,113.95
Koregaon Park,2,971,25,7,20,1,0,1,1,0,1,Fully-Furnished,1,4.4,194.9
Chinchwad,2,1171,21,11,16,1,0,0,1,1,1,Semi-Furnished,1.3,7.5,88.89
Kharadi,2,1210,9,9,15,1,0,0,1,1,1,Unfurnished,3.5,4.8,131.7
Pashan,2,851,6,16,19,1,1,1,1,0,1,Semi-Furnished,0.6,5.5,111.44
Mundhwa,2,767,24,5,10,0,0,0,1,0,1,Fully-Furnished,3.6,2,60.97
Baner,2,862,20,7,9,1,0,1,0,1,1,Semi-Furnished,8.8,1.7,122.37
Wakad,3,1243,7,8,8,0,0,1,1,1,1,Semi-Furnished,8.3,11.5,175.11
Pashan,2,1122,23,14,19,1,1,1,1,0,1,Unfurnished,5.6,5.1,89.7
Aundh,3,1079,8,16,19,1,0,0,1,0,1,Unfurnished,0.8,12.4,204.28
Wagholi,1,626,4,7,10,1,1,0,1,1,1,Semi-Furnished,1.7,3.1,47.22
Viman Nagar,3,1504,12,3,3,1,0,0,1,1,1,Semi-Furnished,7,8.6,246.27
Undri,1,532,13,1,18,1,1,1,1,1,1,Fully-Furnished,1,12.4,43.47
Mundhwa,2,1044,12,1,3,1,0,0,0,0,0,Unfurnished,0.5,1.9,85.8
Warje,2,1280,13,2,11,1,1,0,1,0,1,Unfurnished,3.7,2.3,130.18
Kalyani Nagar,3,1205,7,1,9,1,0,0,0,1,1,Semi-Furnished,1.7,7.9,271.57
Pimpri,3,1593,5,2,6,2,0,0,1,1,1,Fully-Furnished,3.7,5.2,156.43
Warje,3,1351,6,5,5,1,1,0,1,1,1,Semi-Furnished,1.4,2.4,177.27
Pisoli,3,1385,11,14,20,1,0,1,0,0,1,Semi-Furnished,7.2,6,82.19
Bavdhan,4,1803,20,5,17,1,1,1,1,1,1,Semi-Furnished,3.1,4.4,246.95
Undri,2,1094,23,6,11,1,1,0,1,0,1,Semi-Furnished,1.5,1.1,77.73
Mundhwa,3,1186,10,2,3,1,0,0,1,0,1,Semi-Furnished,9,16.4,116.83
